State,City,Count,Lat,Lng
Missouri,Saint Louis,17,38.63711316406252,-90.29315422656232
Wisconsin,Milwaukee,17,43.04416807920797,-87.9122900000001
California,Newport Beach,16,33.615402,-117.88243912500002
California,Sausalito,16,37.928997,-122.59385033333335
Nebraska,Omaha,16,41.2663845346534,-96.01626293069307
South Carolina,Charleston,16,32.84740291666666,-79.95214491666665
California,California City,16,35.40455866666667,-118.14621566666666
Tennessee,Franklin,16,35.90614516666667,-86.90416166666667
California,San Ramon,16,37.77381866666666,-121.92950366666666
Virginia,Alexandria,16,38.80325654545447,-77.05581529292938
Pennsylvania,Malvern,15,40.054413,-75.5182535
California,Aliso Viejo,15,33.608253500000004,-117.74990299999999
Illinois,Champaign,15,40.123352714285716,-88.26018771428572
Connecticut,New Haven,15,41.34142727272727,-72.92128893939397
Massachusetts,Marlborough,14,42.5329245,-71.259285
Florida,Miami Beach,14,25.761964714285714,-80.19231542857143
Texas,Irving,14,32.81605262499999,-96.90232037499999
California,Santa Cruz,14,36.63020977777778,-121.39015833333332
Maryland,Gaithersburg,14,39.15306641176472,-77.20165688235296
Delaware,Newark,14,39.63513918750001,-75.68011499999999
Colorado,Englewood,14,39.657997040000026,-104.88662559999999
Colorado,Broomfield,14,39.93213433333334,-105.06600666666667
Idaho,Boise,14,43.51276294736842,-116.22681792105267
Colorado,Louisville,13,40.0193915,-105.26629249999999
Massachusetts,Bedford,13,42.5034275,-71.27353049999999
Alabama,Birmingham,13,33.52241570786516,-86.85777575280896
Arkansas,Fayetteville,13,36.044621799999994,-94.1720816
Virginia,Richmond,13,37.54978031818182,-77.46787586363622
California,Sacramento,13,38.46863620567375,-121.45240475886501
New Jersey,Jersey City,13,40.727790470588154,-74.07611338235307
Tennessee,Brentwood,12,35.928767,-86.8618115
Utah,Draper,12,40.506148,-111.869671
New Jersey,Hoboken,12,40.746851,-74.033934
Florida,Jacksonville,12,30.31990186725659,-81.6574476106194
Arizona,Chandler,12,33.28163611111111,-111.87322322222222
Pennsylvania,Wayne,12,40.03108099999999,-75.3833912
California,Calabasas,11,33.954952,-118.484845
South Carolina,Greenville,11,34.8488390909091,-82.38963045454544
California,Brisbane,11,37.689182,-122.404332
Maryland,Columbia,11,39.281357,-76.7251205
Massachusetts,Acton,11,42.48509,-71.43284
California,Walnut,11,33.86384733333333,-118.15074800000001
Oklahoma,Tulsa,11,36.142547744680776,-95.97981095744677
Kansas,Kansas City,11,39.11233093137262,-94.64194445098032
Texas,Addison,10,32.96179,-96.82917
California,Westlake Village,10,34.061161,-118.79179939999999
Kansas,Overland Park,10,39.02315,-94.669467
Massachusetts,Andover,10,42.6450014,-71.11948280000001
Florida,Gainesville,10,29.709735681818184,-82.45000495454548
California,Laguna Hills,10,33.603437333333325,-117.72128766666667
California,Costa Mesa,10,33.65548833333333,-117.86697266666665
California,Torrance,10,33.834470510000045,-118.33824016000013
Oklahoma,Oklahoma City,10,35.49985017894737,-97.47566255789484
Virginia,Fairfax,10,38.828656933333335,-77.29848726666665
Colorado,Colorado Springs,10,38.83022245762712,-104.67752994915256
Massachusetts,Wellesley,10,42.30007966666667,-71.30081799999999
New Hampshire,Manchester,10,42.99331294845368,-71.46273682474236
Minnesota,Saint Paul,10,44.954542686956536,-93.09833792173924
Oregon,Beaverton,10,45.49293081818183,-122.85360154545455
California,Redwood Shores,9,37.5329457,-122.264781
California,Marina Del Rey,9,33.8828005,-118.37825699999999
North Carolina,Cary,9,35.5276825,-78.7149
California,Alameda,9,37.7528255,-122.253923
California,Davis,9,38.5868375,-121.8800005
Colorado,Greenwood Village,9,39.645995,-105.011411
Pennsylvania,King Of Prussia,9,40.061183,-75.49916333333334
Utah,Orem,9,40.2757268,-111.675477
Colorado,Fort Collins,9,40.5646998,-105.1839831
Minnesota,Plymouth,9,45.010519,-93.455509
Arizona,Tempe,9,33.36573644444445,-111.98951422222224
California,San Clemente,9,33.44059766666667,-117.61835
Tennessee,Knoxville,9,35.96464242056076,-83.93588985981307
California,San Rafael,9,38.00383130769229,-122.5672350769231
California,Santa Rosa,9,38.45744472727273,-122.74012663636363
Utah,Sandy,9,40.59685877777778,-111.83523355555555
New Jersey,Newark,9,40.74317988541673,-74.18417894791675
Connecticut,Norwalk,9,41.17410966666667,-73.40044133333332
Iowa,Des Moines,9,41.631934274509746,-93.59314261764696
Massachusetts,Needham,9,42.265378999999996,-71.2019588
Massachusetts,Framingham,9,42.377016999999995,-71.44929883333333
Pennsylvania,Radnor,8,40.0284651,-75.3699007
California,Manhattan Beach,8,33.8378725,-118.3503945
Maryland,College Park,8,38.9659782,-76.9265068
Illinois,Naperville,8,41.76044975,-88.14485975
Vermont,Burlington,8,44.422577,-73.04866633333334
